StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Unspecified,Expanded,Age,Gender,Gender_3_TEXT,Employment,Employment_9_TEXT,SESLadder,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Imagine the following situation. You arrive at work one day and find that you have some unscheduled time.  You decide to:,"Imagine the following situation.  You arrive at work one day and find out that your employer has many opportunities for you in the years ahead.  The company would like you to stay with them for considerably longer than you had planned.  After thinking this over, you find that you have some unscheduled time today.  You decide to:",What is your current age (in years)?,Please indicate your gender. - Selected Choice,Please indicate your gender. - Other (please describe) - Text,What best describes your current employment status? - Selected Choice,What best describes your current employment status? - Not working - other (please explain) - Text,"Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are, the closer you are to the people at the very bottom.


Please select the number on the rung where you think you stand at this time in your life, relative to
other people in the United States.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_3_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_10_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2022-10-28 08:51:20,2022-10-28 08:52:33,IP Address,172.58.187.91,100,72,True,2022-10-28 08:52:33,R_1E7ndR2rlnnQxxy,,,,,39.0157,-77.0085,anonymous,EN,,Help a colleague or friend with a company project,27,Female,,,,6,,,
2022-10-28 08:54:12,2022-10-28 08:54:30,IP Address,172.58.187.224,100,18,True,2022-10-28 08:54:31,R_1QJG7CATEgiT9fy,,,,,39.0157,-77.0085,anonymous,EN,,Help a colleague or friend with a company project,27,Female,,,,6,,,
2022-10-28 09:41:32,2022-10-28 09:42:26,IP Address,174.193.141.0,100,53,True,2022-10-28 09:42:26,R_1I5hh0XPnwyqZp4,,,,,34.0447,-118.2946,anonymous,EN,,Work on a company project that may help you advance your career,24,Other (please describe),Nonbinary,,,4,,,
2022-10-28 09:40:13,2022-10-28 09:43:09,IP Address,135.180.163.152,100,175,True,2022-10-28 09:43:09,R_Z8gIZa5P6lSIKTn,,,,,37.8371,-122.2773,anonymous,EN,Help a colleague or friend with a company project,,22,Female,,,,7,,,
2022-10-28 09:51:10,2022-10-28 09:53:22,IP Address,76.132.189.8,100,131,True,2022-10-28 09:53:22,R_1pQI9fG3fEp7XQE,,,,,37.4651,-122.143,anonymous,EN,,Work on a company project that may help you advance your career,28,Female,,,,7,,,
2022-10-28 10:41:13,2022-10-28 10:42:52,IP Address,163.114.132.134,100,99,True,2022-10-28 10:42:52,R_3hFrPf18IO8PMNL,,,,,37.4073,-121.939,anonymous,EN,,Work on a company project that may lead the company in a new direction,25,Female,,,,5,,,
2022-10-28 12:45:37,2022-10-28 12:46:56,IP Address,67.170.236.88,100,79,True,2022-10-28 12:46:56,R_2CglZ34qqVjwZ1T,,,,,37.8657,-122.2571,anonymous,EN,,Work on a company project that may help you advance your career,22,Other (please describe),Non binary,,,5,,,
2022-10-28 13:28:05,2022-10-28 13:30:54,IP Address,67.188.25.203,100,168,True,2022-10-28 13:30:54,R_VQFRJzPbpiVTegh,,,,,37.8657,-122.2571,anonymous,EN,,Help a colleague or friend with a company project,22,Female,,,,3,,,
2022-10-28 14:28:14,2022-10-28 14:29:16,IP Address,67.170.236.88,100,61,True,2022-10-28 14:29:16,R_1mg8g4KJFRPVWB7,,,,,37.8657,-122.2571,anonymous,EN,Work on a company project that may help you advance your career,,22,Female,,,,7,,,
2022-10-28 16:31:57,2022-10-28 16:47:34,IP Address,69.251.157.5,100,936,True,2022-10-28 16:47:34,R_1OOySru7w6Zj12m,,,,,38.9635,-76.9672,anonymous,EN,Help a colleague or friend with a company project,,24,Female,,,,6,,,
2022-10-28 16:48:00,2022-10-28 16:49:30,IP Address,69.251.157.5,100,90,True,2022-10-28 16:49:31,R_1gun3uZeKzuiNlP,,,,,38.9635,-76.9672,anonymous,EN,,Help a colleague or friend with a company project,24,Female,,,,6,,,
2022-10-28 17:52:55,2022-10-28 17:54:45,IP Address,107.77.227.230,100,109,True,2022-10-28 17:54:45,R_3Kr3HfuHQmosxoR,,,,,34.0544,-118.244,anonymous,EN,,Help a colleague or friend with a company project,27,Female,,,,6,,,
2022-10-29 07:49:05,2022-10-29 07:50:56,IP Address,69.251.157.5,100,111,True,2022-10-29 07:50:57,R_3pu90PxgZuEN426,,,,,38.9635,-76.9672,anonymous,EN,Help a colleague or friend with a company project,,24,Female,,,,8,,,
2022-10-29 10:25:13,2022-10-29 10:25:35,IP Address,76.132.189.8,100,22,True,2022-10-29 10:25:36,R_sMTssmlihQz4zcZ,,,,,37.4651,-122.143,anonymous,EN,,Work on a company project that may help you advance your career,24,Female,,,,7,,,
2022-10-29 22:47:41,2022-10-29 22:48:21,IP Address,107.116.89.126,100,40,True,2022-10-29 22:48:21,R_1QxYmKS4cUuy3wQ,,,,,37.589,-122.0461,anonymous,EN,Work on a company project that may help you advance your career,,25,Female,,,,4,,,
2022-10-30 11:16:09,2022-10-30 11:18:31,IP Address,107.122.81.20,100,141,True,2022-10-30 11:18:31,R_33m8peRm5XOYgnV,,,,,47.5364,-122.278,anonymous,EN,Work on a company project that may help you advance your career,,23,Female,,,,7,,,
2022-11-01 10:39:35,2022-11-01 10:44:45,IP Address,171.66.12.155,100,309,True,2022-11-01 10:44:45,R_12EyvUm2GjKash6,,,,,37.423,-122.1639,anonymous,EN,,Help a colleague or friend with a company project,23,Male,,,,9,,,
2022-10-28 08:52:47,2022-10-28 08:52:57,IP Address,68.65.175.39,33,9,False,2022-11-04 08:52:59,R_2rovSFtKMzRnA0F,,,,,,,anonymous,EN,,,,,,,,,,,
2022-10-29 07:51:09,2022-10-29 07:52:36,IP Address,69.251.157.5,33,87,False,2022-11-05 07:52:43,R_UJYi58xJCn1msmZ,,,,,,,anonymous,EN,,,,,,,,,,,
2022-11-14 13:35:14,2022-11-14 13:36:49,IP Address,171.66.13.204,100,95,True,2022-11-14 13:36:49,R_1QN0zMnNXLbgSh0,,,,,37.423,-122.1639,anonymous,EN,Work on a company project that may lead the company in a new direction,,150,Male,,,,10,,,
2022-11-23 10:29:49,2022-11-23 10:34:34,IP Address,171.66.13.183,100,285,True,2022-11-23 10:34:35,R_2c009XolK1PTGd5,,,,,37.423,-122.1639,anonymous,EN,,,,,,,,,,,
2022-11-23 10:34:41,2022-11-23 10:35:03,IP Address,171.66.13.183,100,21,True,2022-11-23 10:35:04,R_31iq0dCwWDIY5Cx,,,,,37.423,-122.1639,anonymous,EN,,,,,,,,,,,
2022-12-08 12:56:26,2022-12-08 12:56:41,IP Address,171.66.13.223,100,14,True,2022-12-08 12:56:41,R_1GV6hF9WS1OvEgz,,,,,37.423,-122.1639,anonymous,EN,,Help a colleague or friend with a company project,20,Female,,Working - as a full-time paid employee,,10,{{%PROLIFIC_PID%}},{{%STUDY_ID%}},{{%SESSION_ID%}}
2022-12-08 13:36:40,2022-12-08 13:37:33,IP Address,172.58.249.52,100,52,True,2022-12-08 13:37:33,R_2Yy1bjQvy42fOEM,,,,,35.2296,-80.843,anonymous,EN,,Work on a company project that may help you advance your career,23,Female,,Working - as a full-time paid employee,,3,5d140b5c1039690017945b7b,63924789309ffb80448dd3ec,639258e152c440ce7563d9a9
2022-12-08 13:42:41,2022-12-08 13:43:43,IP Address,68.46.114.234,100,61,True,2022-12-08 13:43:43,R_2RTVZAwluq3DcAE,,,,,44.9121,-93.1717,anonymous,EN,Work on a company project that may lead the company in a new direction,,28,Female,,Working - as a full-time paid employee,,6,5ff3f431bb7b2959192f9be8,63924789309ffb80448dd3ec,63925a4be074c17591a0b80e
2022-12-08 13:46:20,2022-12-08 13:47:24,IP Address,75.185.18.121,100,63,True,2022-12-08 13:47:24,R_10CyUzQ7uGwNzbE,,,,,40.0847,-82.7988,anonymous,EN,,Work on a company project that may lead the company in a new direction,26,Male,,Working - as a full-time paid employee,,6,62c2f70f10a2a5cf48c9ab2f,63924789309ffb80448dd3ec,63925b27c240a4d3a7c493a7
2022-12-08 13:51:16,2022-12-08 13:53:00,IP Address,24.22.43.51,100,103,True,2022-12-08 13:53:00,R_1jjkIkQ4pYfJivF,,,,,44.0683,-123.0763,anonymous,EN,Work on a company project that may help you advance your career,,25,Female,,Working - self-employed,,5,6108e0f394ea82edc8b1884a,63924789309ffb80448dd3ec,63925c1036617549e4dddb21
2022-12-08 13:56:13,2022-12-08 13:57:12,IP Address,45.26.40.123,100,58,True,2022-12-08 13:57:13,R_RDdoE114PerAKSB,,,,,40.9659,-117.7506,anonymous,EN,,Help a colleague or friend with a company project,34,Male,,Working - as a full-time paid employee,,4,586935b7e16d530001b34787,63924789309ffb80448dd3ec,63925d74c6565dc98dc447c5
2022-12-08 13:56:28,2022-12-08 13:59:51,IP Address,172.56.50.156,100,202,True,2022-12-08 13:59:51,R_5AUwXYobgaEDgQx,,,,,29.7373,-95.3972,anonymous,EN,Help a colleague or friend with a company project,,32,Male,,Working - as a full-time paid employee,,5,632b3017a1169b3aa44c0d66,63924789309ffb80448dd3ec,63925d878cb4ca4eabe9dfc6
2022-12-08 14:00:30,2022-12-08 14:01:21,IP Address,50.24.192.102,100,51,True,2022-12-08 14:01:22,R_2xS4VQ1OqOp2k2a,,,,,30.4421,-97.6339,anonymous,EN,Help a colleague or friend with a company project,,47,Male,,Working - as a full-time paid employee,,6,5ea89a8b6b6ee52ee578a90a,63924aaf9cf6e7129ddd0692,63925e58476578d629dd0647
2022-12-08 14:01:48,2022-12-08 14:03:45,IP Address,108.68.121.134,100,116,True,2022-12-08 14:03:45,R_PvBhW41jQNtyuAN,,,,,37.2599,-121.9171,anonymous,EN,,Work on a company project that may help you advance your career,52,Male,,Working - as a full-time paid employee,,7,60fb534aa3d839c152fa8f36,63924aaf9cf6e7129ddd0692,63925ec79c797ec794c547f2
2022-12-08 14:03:00,2022-12-08 14:03:59,IP Address,208.87.234.180,100,58,True,2022-12-08 14:03:59,R_1DzDf7cqfUJgD1o,,,,,37.751,-97.822,anonymous,EN,,Help a colleague or friend with a company project,31,Male,,Working - as a full-time paid employee,,7,5fa2050042e91e3c2bae0ec2,63924789309ffb80448dd3ec,63925ed985caf39f1ba52d3e
2022-12-08 14:04:18,2022-12-08 14:04:39,IP Address,71.175.93.152,100,21,True,2022-12-08 14:04:39,R_3EcWKLCSJdZWMxf,,,,,40.1809,-75.2156,anonymous,EN,Work on a company project that may help you advance your career,,28,Male,,Working - as a full-time paid employee,,7,62fedd1d5abea42a4a58a82a,63924789309ffb80448dd3ec,63925f5d8075803f8649dac7
2022-12-08 14:05:11,2022-12-08 14:06:11,IP Address,173.26.120.77,100,60,True,2022-12-08 14:06:12,R_3Jg9TlAd3PZtKeu,,,,,41.4943,-90.5001,anonymous,EN,,Work on a company project that may lead the company in a new direction,45,Male,,Working - as a full-time paid employee,,8,614fb5f505179343600daf54,63924aaf9cf6e7129ddd0692,63925f915962effd523c1dad
2022-12-08 14:06:15,2022-12-08 14:06:48,IP Address,75.136.138.206,100,33,True,2022-12-08 14:06:49,R_2fqjl5IAzICyrfO,,,,,34.5251,-82.6307,anonymous,EN,,Work on a company project that may help you advance your career,42,Female,,Working - as a full-time paid employee,,5,5a4fab63eedc32000141ec5c,63924aaf9cf6e7129ddd0692,63925fd33c06f460e60f2795
2022-12-08 14:04:22,2022-12-08 14:07:05,IP Address,76.87.252.10,100,162,True,2022-12-08 14:07:05,R_3nd3BdZuWacceDP,,,,,33.9441,-118.198,anonymous,EN,Work on a company project that may lead the company in a new direction,,28,Female,,Working - as a full-time paid employee,,5,5c873649fff8430016e9aa7a,63924789309ffb80448dd3ec,63925ee3cd59e0e3a3384d59
2022-12-08 14:07:48,2022-12-08 14:08:27,IP Address,76.203.168.70,100,38,True,2022-12-08 14:08:28,R_2dQQ4ET1jRlG1de,,,,,25.7259,-80.4036,anonymous,EN,Work on a company project that may help you advance your career,,44,Female,,Working - as a full-time paid employee,,2,5e0f51826f6d3e66045b8feb,63924aaf9cf6e7129ddd0692,6392602131e503913b469fc3
2022-12-08 14:11:19,2022-12-08 14:11:45,IP Address,67.243.12.236,100,25,True,2022-12-08 14:11:46,R_qOVRa7cWaiy65Ox,,,,,40.5334,-74.2099,anonymous,EN,Work on a company project that may help you advance your career,,22,Female,,Working - as a part-time paid employee,,2,5f1273feb9ddf60dd2781b2f,63924789309ffb80448dd3ec,639261041ae1686a73a38cae
2022-12-08 14:13:32,2022-12-08 14:14:49,IP Address,69.114.112.123,100,76,True,2022-12-08 14:14:49,R_1laTzcf9HwAmRs1,,,,,40.5978,-74.0001,anonymous,EN,,Help a colleague or friend with a company project,26,Male,,Working - as a full-time paid employee,,3,58ab2db50da7f10001de8e34,63924789309ffb80448dd3ec,63926187cc42c980f684f462
2022-12-08 14:14:11,2022-12-08 14:15:12,IP Address,76.95.5.42,100,60,True,2022-12-08 14:15:12,R_2viaQBmtF661Lem,,,,,33.8956,-117.9053,anonymous,EN,Help a colleague or friend with a company project,,32,Male,,Working - as a full-time paid employee,,7,5a1efc2b517dfb00013dd370,63924789309ffb80448dd3ec,639261ae8acad0ec1de9dfc0
2022-12-08 14:18:01,2022-12-08 14:18:53,IP Address,73.32.250.252,100,52,True,2022-12-08 14:18:53,R_3QWYo5XTPLbCjfr,,,,,29.5656,-95.2747,anonymous,EN,,Work on a company project that may help you advance your career,25,Female,,Working - as a full-time paid employee,,5,627a861608f88b4d143e3738,63924789309ffb80448dd3ec,63926293659f6b7bbc49db16
2022-12-08 14:18:25,2022-12-08 14:19:36,IP Address,50.90.201.216,100,70,True,2022-12-08 14:19:36,R_2BwFMznQ2OfTLwm,,,,,39.9573,-86.277,anonymous,EN,Work on a company project that may help you advance your career,,26,Male,,Working - as a full-time paid employee,,6,5ea0c0a339035b0b3d4adae5,63924789309ffb80448dd3ec,639262ae62a16e00f0c447eb
2022-12-08 14:18:31,2022-12-08 14:19:47,IP Address,24.190.102.154,100,75,True,2022-12-08 14:19:47,R_3HTVCnJYvCmyr7M,,,,,40.6973,-73.3271,anonymous,EN,,Help a colleague or friend with a company project,40,Male,,Working - as a full-time paid employee,,7,5e3cddaa64dfd70d85a5ef3f,63924aaf9cf6e7129ddd0692,639262b3cca0bc8a8ac493cd
2022-12-08 14:19:29,2022-12-08 14:20:03,IP Address,134.215.140.146,100,34,True,2022-12-08 14:20:04,R_3Jkf84gYmUAfKa9,,,,,40.597,-105.0589,anonymous,EN,Work on a company project that may help you advance your career,,29,Male,,Working - as a full-time paid employee,,4,5d80e72af73a9d001d0de6b2,63924789309ffb80448dd3ec,639262ed08959842f81a7a81
2022-12-08 14:20:30,2022-12-08 14:21:07,IP Address,98.20.105.164,100,37,True,2022-12-08 14:21:08,R_1H0oTMh42ywQB1s,,,,,33.4085,-94.1819,anonymous,EN,Work on a company project that may lead the company in a new direction,,30,Male,,Working - self-employed,,4,62c9024c3181d7800e31a759,63924789309ffb80448dd3ec,639262f4f91c4d681862b8c0
2022-12-08 14:20:20,2022-12-08 14:21:23,IP Address,73.115.194.212,100,63,True,2022-12-08 14:21:23,R_3stV4mup7r6JjTw,,,,,29.8203,-95.4256,anonymous,EN,,Help a colleague or friend with a company project,51,Male,,Working - as a full-time paid employee,,3,5f872af9e3e4870ef4d67cc3,63924aaf9cf6e7129ddd0692,6392631c1c62d4bcae111926
2022-12-08 14:23:16,2022-12-08 14:24:04,IP Address,73.153.61.91,100,47,True,2022-12-08 14:24:04,R_A0Wz1ubARRPj30Z,,,,,39.6663,-104.8343,anonymous,EN,,Help a colleague or friend with a company project,39,Male,,Working - as a full-time paid employee,,5,631b67a3f82c28fb8ac2ac35,63924aaf9cf6e7129ddd0692,639263d01c62d4bcae111938
2022-12-08 14:26:51,2022-12-08 14:27:23,IP Address,67.42.91.189,100,32,True,2022-12-08 14:27:24,R_3dG6envO52Sn427,,,,,47.425,-122.4586,anonymous,EN,Help a colleague or friend with a company project,,34,Female,,Working - as a full-time paid employee,,6,60b8ae101ff97c46f787f1a8,63924789309ffb80448dd3ec,639264a5cca0bc8a8ac49400
2022-12-08 14:27:24,2022-12-08 14:28:18,IP Address,24.118.177.148,100,54,True,2022-12-08 14:28:18,R_6low2oZMa31nA1X,,,,,44.9764,-93.224,anonymous,EN,,Work on a company project that may help you advance your career,34,Male,,Working - as a full-time paid employee,,7,5c57631a47a04100010da795,63924789309ffb80448dd3ec,639264c5bddc7b2fad186a74
2022-12-08 14:29:50,2022-12-08 14:30:14,IP Address,166.205.107.29,100,24,True,2022-12-08 14:30:14,R_2ePegF2HZon4Q5d,,,,,33.9098,-118.0714,anonymous,EN,Work on a company project that may lead the company in a new direction,,24,Male,,Working - as a full-time paid employee,,6,614e497939b9b53a6013f7b0,63924789309ffb80448dd3ec,63926559ad382ebe115e4455
2022-12-08 14:29:55,2022-12-08 14:32:13,IP Address,73.14.62.50,100,138,True,2022-12-08 14:32:14,R_3pmYaoPHcdbiWZq,,,,,39.9636,-104.9072,anonymous,EN,,Work on a company project that may help you advance your career,50,Male,,Working - as a full-time paid employee,,6,616c4f1eacaf6dcc36160230,63924aaf9cf6e7129ddd0692,6392655ee75e1081c844a39d
2022-12-08 14:32:16,2022-12-08 14:32:49,IP Address,74.77.125.223,100,33,True,2022-12-08 14:32:49,R_2zUDWQRRNYJqVri,,,,,42.9554,-78.8638,anonymous,EN,,Work on a company project that may help you advance your career,34,Male,,Working - as a full-time paid employee,,6,5f4c1e40b977c21142f78adc,63924789309ffb80448dd3ec,639265ea011bdd81f3c54809
2022-12-08 14:32:00,2022-12-08 14:32:55,IP Address,159.250.11.222,100,55,True,2022-12-08 14:32:55,R_1f2V9q4rrMuml6k,,,,,41.797,-71.8857,anonymous,EN,Help a colleague or friend with a company project,,34,Female,,Working - as a full-time paid employee,,4,58a652549a17120001d9193f,63924789309ffb80448dd3ec,639265dc8f3967cffb5e44bf
2022-12-08 14:32:42,2022-12-08 14:33:28,IP Address,162.221.219.112,100,45,True,2022-12-08 14:33:28,R_UYqiiGLdxn9XsHf,,,,,38.0012,-84.5325,anonymous,EN,,Work on a company project that may help you advance your career,31,Male,,Working - as a full-time paid employee,,6,6306d29af0c80316a9c5aa1b,63924789309ffb80448dd3ec,63926606bd306bbc2462b8c1
2022-12-08 14:33:37,2022-12-08 14:34:01,IP Address,69.120.172.197,100,23,True,2022-12-08 14:34:01,R_YaGMaXDSUfmvkjf,,,,,40.2825,-74.3424,anonymous,EN,Help a colleague or friend with a company project,,24,Male,,Working - as a full-time paid employee,,7,5cf1eed7a602eb0001e2e850,63924789309ffb80448dd3ec,6392663f011bdd81f3c54814
2022-12-08 14:33:47,2022-12-08 14:34:33,IP Address,69.204.28.176,100,45,True,2022-12-08 14:34:33,R_302UdsX9MxOwnqI,,,,,43.0037,-78.8496,anonymous,EN,,Work on a company project that may help you advance your career,42,Female,,Working - as a full-time paid employee,,4,5e2e34ba77d2c74148d7d0d2,63924aaf9cf6e7129ddd0692,639266446957ffda55c54833
2022-12-08 14:33:56,2022-12-08 14:35:05,IP Address,70.167.117.42,100,69,True,2022-12-08 14:35:06,R_sgUigwWQoyVbldf,,,,,32.7916,-116.971,anonymous,EN,Help a colleague or friend with a company project,,29,Female,,Working - as a full-time paid employee,,4,6122c4c32f62073ea0b47fca,63924789309ffb80448dd3ec,639266503423fdc966cb5c35
2022-12-08 14:34:00,2022-12-08 14:35:20,IP Address,73.168.97.46,100,79,True,2022-12-08 14:35:20,R_Tk0p96n828OxruV,,,,,41.5883,-87.4593,anonymous,EN,,Work on a company project that may lead the company in a new direction,37,Female,,Working - as a full-time paid employee,,8,5e7a0da5c8327f0406f24b9a,63924aaf9cf6e7129ddd0692,6392665599699833eda38c94
2022-12-08 14:35:40,2022-12-08 14:36:05,IP Address,98.167.233.68,100,24,True,2022-12-08 14:36:05,R_1rvo3Wr14QCFtyN,,,,,33.3725,-112.5768,anonymous,EN,Help a colleague or friend with a company project,,31,Male,,Working - as a full-time paid employee,,5,63069ce5a91abd39332360c8,63924789309ffb80448dd3ec,639266b79a56872b75a52d75
2022-12-08 14:35:40,2022-12-08 14:36:26,IP Address,73.94.104.243,100,46,True,2022-12-08 14:36:27,R_8pKANBA0SOadbIR,,,,,45.0702,-93.4556,anonymous,EN,Help a colleague or friend with a company project,,30,Male,,Working - as a full-time paid employee,,7,63615a93865e6f3354d67e83,63924789309ffb80448dd3ec,639266b505938aca5f6377ad
2022-12-08 14:36:24,2022-12-08 14:37:15,IP Address,96.238.57.137,100,51,True,2022-12-08 14:37:15,R_3pbgwKoEZew8Smy,,,,,41.7042,-71.4558,anonymous,EN,,Work on a company project that may lead the company in a new direction,64,Female,,Working - as a full-time paid employee,,5,5e991aaac7bc1615ea5b3eb8,63924b2f5e5b8d415146515f,639266e2dc2bbce5630f2736
2022-12-08 14:36:50,2022-12-08 14:37:24,IP Address,68.170.222.80,100,33,True,2022-12-08 14:37:24,R_2QJp4xfLcxdl92A,,,,,33.2643,-96.2078,anonymous,EN,,Work on a company project that may help you advance your career,44,Female,,Working - as a full-time paid employee,,4,62729485c0955ee802ac1692,63924aaf9cf6e7129ddd0692,639266fe6d9abf71c80f2752
2022-12-08 14:37:31,2022-12-08 14:37:53,IP Address,184.56.162.235,100,22,True,2022-12-08 14:37:54,R_24kOVO4ou4iiGVt,,,,,37.6451,-84.7703,anonymous,EN,Work on a company project that may lead the company in a new direction,,35,Female,,Working - as a full-time paid employee,,5,588e251908e6b200011a7253,63924789309ffb80448dd3ec,639267252a5884a95784f457
